ilosc watkow;1;2;4;8;16
czas dla obrazu tbb  512X512;0.007017;0.003173;0.003507;0.003700;0.004533
czas dla obrazu tbb 1024X1024;0.025506;0.014044;0.014473;0.013989;0.014773
czas dla obrazu tbb 2048X2048;0.094083;0.059944;0.054285;0.054585;0.054587
Obraz 512X512 Podzial Bloki;0.024785;0.012818;0.012252;0.010832;0.007974
Obraz 1024X1024 Podzial Bloki;0.102812;0.045260;0.044529;0.040071;0.028669
Obraz 2048X2048 Podzial Bloki;0.379265;0.178852;0.177050;0.143098;0.096694
Obraz 512X512 Podzial Roleta;0.025591;0.011522;0.006629;0.003811;0.007209
Obraz 1024X1024 Podzial Roleta;0.094127;0.045500;0.026843;0.014840;0.016065
Obraz 2048X2048 Podzial Roleta;0.372920;0.179445;0.100062;0.051492;0.060120
Obraz 512X512 Podzial Dynamic;0.026572;0.011773;0.006400;0.005795;0.006043
Obraz 1024X1024 Podzial Dynamic;0.097143;0.046299;0.024726;0.013522;0.015375
Obraz 2048X2048 Podzial Dynamic;0.385541;0.192803;0.097502;0.052685;0.054021
Obraz 512X512 Podzial Guided;0.026407;0.011820;0.012695;0.006540;0.004731
Obraz 1024X1024 Podzial Guided;0.095859;0.046121;0.047281;0.023685;0.019900
Obraz 2048X2048 Podzial Guided;0.385492;0.183720;0.190131;0.097118;0.066221
