N,representation_type,execution_time,conflict_rate
4,board_tuple,0.0000035829,100.0
8,board_tuple,0.0000059787,100.0
16,board_tuple,0.0000108621,100.0
32,board_tuple,0.0000219313,100.0
64,board_tuple,0.0000428396,100.0
128,board_tuple,0.0000908566,100.0
4,board_array,0.0000031021,100.0
8,board_array,0.0000065404,100.0
16,board_array,0.0000148012,100.0
32,board_array,0.0000366354,100.0
64,board_array,0.0001105638,100.0
128,board_array,0.0003763875,100.0
4,board_vector,0.0000017338,99.99
8,board_vector,0.0000027434,100.0
16,board_vector,0.0000047266,100.0
32,board_vector,0.0000089687,100.0
64,board_vector,0.0000172911,100.0
128,board_vector,0.0000340050,100.0
4,board_perm,0.0000016917,99.91
8,board_perm,0.0000026012,99.99
16,board_perm,0.0000043854,100.0
32,board_perm,0.0000081191,100.0
64,board_perm,0.0000149654,100.0
128,board_perm,0.0000299788,100.0
