N;representation;heuristic;solution;open_count;closed_count;time
4;board_array;count_attacks;[[0, 0, 1, 0], [1, 0, 0, 0], [0, 0, 0, 1], [0, 1, 0, 0]];62;582;0.0030637910
4;board_array;count_attacks_queens;[[0, 1, 0, 0], [0, 0, 0, 1], [1, 0, 0, 0], [0, 0, 1, 0]];16;169;0.0008110420
4;board_array;manhattan;[[0, 0, 1, 0], [1, 0, 0, 0], [0, 0, 0, 1], [0, 1, 0, 0]];698;838;0.0209933750
4;board_perm;count_attacks;[1, 3, 0, 2];62;106;0.0004060840
4;board_perm;count_attacks_queens;[2, 0, 3, 1];25;31;0.0001565000
4;board_perm;manhattan;[1, 3, 0, 2];186;23;0.0009068330
5;board_array;count_attacks;[[0, 0, 0, 0, 1], [0, 0, 1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 0, 0]];218;3612;0.0230654580
5;board_array;count_attacks_queens;[[0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 0, 1]];6;110;0.0008378330
5;board_array;manhattan;[[0, 0, 0, 0, 1], [0, 0, 1, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 0, 0, 0]];15277;32940;0.8940231660
5;board_perm;count_attacks;[0, 2, 4, 1, 3];218;740;0.0023556670
5;board_perm;count_attacks_queens;[3, 1, 4, 2, 0];6;50;0.0001055000
5;board_perm;manhattan;[0, 2, 4, 1, 3];1427;119;0.0173178750
6;board_array;count_attacks;[[0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0]];1458;36029;0.5011644580
6;board_array;count_attacks_queens;[[0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0]];1539;32517;0.3875641670
6;board_array;manhattan;[[0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0]];443652;1235004;49.9625992090
6;board_perm;count_attacks;[1, 3, 5, 0, 2, 4];1458;5489;0.0287990420
6;board_perm;count_attacks_queens;[4, 2, 0, 5, 3, 1];1168;341;0.0089643750
6;board_perm;manhattan;[1, 3, 5, 0, 2, 4];12608;705;0.6252557500
7;board_array;count_attacks;[[0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]];6992;246025;3.5708718340
7;board_array;count_attacks_queens;[[0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1]];12;484;0.0755874580
7;board_array;manhattan;BRAK ROZWĄZANIA ZA DŁUGI CZAS ;0;0;0
7;board_perm;count_attacks;[0, 2, 4, 6, 1, 3, 5];6992;39626;0.1783337080
7;board_perm;count_attacks_queens;[5, 3, 1, 6, 4, 2, 0];21;144;0.0030007920
7;board_perm;manhattan;[0, 2, 4, 6, 1, 3, 5];125883;5037;1.1008696660
8;board_array;count_attacks;[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0]];48582;2288647;41.0909948750
8;board_array;count_attacks_queens;[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1]];55504;2339037;46.0769420420
8;board_array;manhattan;BRAK ROZWĄZANIA ZA DŁUGI CZAS ;0;0.1;0
8;board_perm;count_attacks;[0, 4, 7, 5, 2, 6, 1, 3];48582;323161;2.7657179590
8;board_perm;count_attacks_queens;[3, 1, 6, 2, 5, 7, 4, 0];21358;5868;0.2586684170
8;board_perm;manhattan;[0, 4, 7, 5, 2, 6, 1, 3];1401410;40025;17.2795999160
