Id,Name,Model,N,Laplace,Log,Train Samples,Test Samples,AccForTrain,AccForTest,AccPerClass
1.Basic,Seeds,Discrete,3,No,No,0.8,0.2,0.85,0.90,"[0.88, 0.88, 1.0]"
2.Log,Seeds,Discrete,3,No,Yes,0.8,0.2,0.85,0.90,"[0.88, 0.88, 1.0]"
3.Laplace,Seeds,Discrete,3,Yes,No,0.8,0.2,0.85,0.90,"[0.88, 0.88, 1.0]"
4.Different N,Seeds,Discrete,2,No,No,0.8,0.2,0.87,0.93,"[0.88, 1.0, 0.9]"
4.Different N,Seeds,Discrete,3,No,No,0.8,0.2,0.85,0.90,"[0.88, 0.88, 1.0]"
4.Different N,Seeds,Discrete,4,No,No,0.8,0.2,0.89,0.98,"[0.94, 1.0, 1.0]"
4.Different N,Seeds,Discrete,5,No,No,0.8,0.2,0.91,0.98,"[1.0, 1.0, 0.9]"
4.Different N,Seeds,Discrete,6,No,No,0.8,0.2,0.91,0.98,"[0.94, 1.0, 1.0]"
4.Different Samples,Seeds,Discrete,3,No,No,0.5,0.5,0.83,0.90,"[0.82, 0.89, 1.0]"
4.Different Samples,Seeds,Discrete,3,No,No,0.6,0.4,0.86,0.86,"[0.74, 0.89, 0.96]"
4.Different Samples,Seeds,Discrete,3,No,No,0.7,0.3,0.87,0.83,"[0.67, 0.86, 1.0]"
4.Different Samples,Seeds,Discrete,3,No,No,0.8,0.2,0.85,0.91,"[0.88, 0.88, 1.0]"
6.GaussianNB,Seeds,Constant,3,No,No,0.8,0.2,0.90,0.95,"[0.94, 0.94, 1.0]"
7.Iris,Iris,Discrete,3,No,No,0.8,0.2,0.95,1.00,"[1.0, 1.0, 1.0]"
