alpha	beta	ber_ask15	ber_psk15	ber_fsk15	ber_ask7	ber_psk7	ber_fsk7
0	0	0	0	0	0	0	0
0	25	49.3182	0	0	49.5455	0	0
0	50	49.5455	0	0	49.7727	0	0
0	75	49.5455	0	0	50	0	0
0	100	49.7727	0	0.454545	50	0	0
0	125	49.7727	0	9.77273	50	0	0
0	150	49.7727	0	17.5	50	0	0
0	175	49.7727	0	22.0455	50	0	0
0	190	49.7727	0	24.0909	50	0	0
0	200	49.7727	0	24.7727	50	0	0.454545
0.3	0	0	0	0	0	0	0
0.3	25	49.5455	0	0	49.5455	0	0
0.3	50	49.5455	0	0	50.2273	0	0
0.3	75	49.5455	0	0	50	0	0
0.3	100	49.7727	0	0.454545	50	0	0
0.3	125	49.7727	0	9.77273	50	0	0
0.3	150	49.7727	0	17.5	50	0	0
0.3	175	49.7727	0	22.0455	50	0	0
0.3	190	49.7727	0	24.0909	50	0	0
0.3	200	49.7727	0	24.7727	50	0	0.454545
0.6	0	2.95455	0	0	0.681818	0	0
0.6	25	49.5455	0	0	49.5455	0	0
0.6	50	49.5455	0	0	49.7727	0	0
0.6	75	49.7727	0	0	50	0	0
0.6	100	49.7727	0	0.454545	50	0	0
0.6	125	49.7727	0	9.77273	50	0	0
0.6	150	49.7727	0	17.5	50	0	0
0.6	175	49.7727	0	22.0455	50	0	0
0.6	190	49.7727	0	24.0909	50	0	0
0.6	200	49.7727	0	24.7727	50	0	0.454545
0.9	0	10.4545	0	0	5.68182	0	0
0.9	25	49.5455	0	0	49.5455	0	0
0.9	50	49.5455	0	0	49.5455	0	0
0.9	75	49.7727	0	0	50	0	0
0.9	100	49.5455	0	0.454545	50	0	0
0.9	125	49.7727	0	9.77273	49.7727	0	0
0.9	150	49.7727	0	17.5	50	0	0
0.9	175	50	0	22.0455	50	0	0
0.9	190	50	0	24.0909	50	0	0
0.9	200	49.7727	0	24.7727	50	0	0.454545
1.2	0	16.1364	0	0	10.6818	0	0
1.2	25	49.3182	0	0	50	0	0
1.2	50	49.7727	0	0.454545	50.2273	0	0
1.2	75	49.5455	0	0	49.5455	0	0
1.2	100	49.7727	0	0.454545	50	0	0
1.2	125	50	0	9.77273	50	0	0
1.2	150	50	0	17.5	50	0	0
1.2	175	49.7727	0	22.5	50	0	0
1.2	190	50	0	24.7727	50	0	0
1.2	200	49.7727	0	25	50	0	0.454545
1.5	0	17.2727	0	0.909091	17.5	0	0
1.5	25	49.3182	0	0.909091	49.7727	0	0.227273
1.5	50	49.5455	0	0.909091	49.5455	0	0
1.5	75	49.5455	0	0.909091	49.7727	0	0
1.5	100	50	0.227273	2.72727	50	0	0
1.5	125	49.7727	0	11.1364	50	0	0.681818
1.5	150	49.7727	0	18.6364	50	0	0
1.5	175	50	0	22.5	50	0	0
1.5	190	49.5455	0	24.5455	50	0	0.454545
1.5	200	49.7727	0	26.5909	50	0	0.454545
2	0	26.8182	0.681818	3.18182	29.0909	0	1.81818
2	25	49.5455	0.454545	4.77273	49.5455	0.227273	0.454545
2	50	49.5455	0.681818	4.31818	49.5455	0	2.04545
2	75	49.5455	1.36364	5	50.2273	0	1.13636
2	100	49.7727	0.681818	4.09091	49.7727	0	1.36364
2	125	50	0.454545	12.7273	50	0	0.909091
2	150	49.5455	0.909091	21.5909	50	0	2.27273
2	175	50	0.681818	25.9091	50	0.227273	2.27273
2	190	50	0.454545	27.0455	50	0.227273	1.13636
2	200	50	0.454545	27.2727	50	0	3.40909
2.3	0	35.2273	1.59091	7.27273	30.2273	0	2.5
2.3	25	49.3182	1.36364	6.36364	49.5455	0	2.04545
2.3	50	49.7727	0.681818	7.72727	50	0	2.72727
2.3	75	49.5455	2.04545	6.13636	49.7727	0	3.18182
2.3	100	49.7727	0.681818	6.59091	50	0.454545	4.54545
2.3	125	49.5455	2.5	14.3182	49.7727	0.454545	3.63636
2.3	150	50	1.59091	22.0455	50	0	5.68182
2.3	175	49.7727	1.59091	25.6818	49.7727	0	3.63636
2.3	190	49.7727	1.13636	29.0909	50	0	3.63636
2.3	200	49.7727	1.36364	29.7727	50	0.681818	3.63636
2.6	0	30.9091	3.18182	10	31.8182	0.681818	6.81818
2.6	25	49.5455	4.77273	10.9091	50	0.227273	6.36364
2.6	50	49.5455	2.72727	10.9091	49.7727	1.13636	6.13636
2.6	75	49.7727	2.5	8.86364	50	0.681818	5.45455
2.6	100	50	3.18182	12.5	50	1.59091	7.5
2.6	125	50	3.18182	19.3182	50	2.5	10.6818
2.6	150	49.7727	2.27273	25.4545	50	1.36364	4.77273
2.6	175	49.7727	5.90909	27.9545	50	0.681818	4.77273
2.6	190	49.7727	3.86364	30.6818	50	1.59091	8.63636
2.6	200	50	5.45455	30.6818	50	0.454545	6.36364
3	0	31.8182	5.68182	11.5909	35	2.72727	8.40909
3	25	49.5455	5.90909	11.5909	49.7727	1.13636	9.77273
3	50	49.5455	4.54545	13.4091	49.7727	2.72727	10
3	75	49.7727	6.36364	12.0455	49.7727	1.81818	8.63636
3	100	50	4.77273	15	50.2273	2.27273	7.95455
3	125	49.7727	6.13636	19.5455	49.7727	0	8.86364
3	150	49.7727	5.90909	23.4091	50	3.40909	9.09091
3	175	49.7727	3.18182	31.1364	50	2.5	9.09091
3	190	50	5.45455	31.3636	50	2.5	10.9091
3	200	49.7727	5.90909	33.4091	50	2.5	10
