alpha	beta	ber_ask15	ber_psk15	ber_fsk15	ber_ask7	ber_psk7	ber_fsk7
0	0	0	0	0	0	0	0
0	25	49.3182	0	0	49.5455	0	0
0	50	49.5455	0	0	50	0	0
0	75	49.7727	0	17.5	50	0	0
0	100	50	0	30.2273	50	0	10
0	125	50	0	36.8182	50	0	23.8636
0	150	50	0	40.4545	50	2.72727	31.3636
0	175	50	0	41.8182	50	15	36.3636
0	190	50	9.54545	43.4091	50	22.9545	39.5455
0	200	50	17.9545	44.7727	50	27.5	40.9091
0.3	0	50	52.0455	49.7727	50	55.4545	47.7273
0.3	25	50	48.8636	49.3182	50	50.9091	50.9091
0.3	50	50	51.3636	55	50	49.3182	54.5455
0.3	75	50	50.4545	48.4091	50	52.9545	49.5455
0.3	100	50	50.4545	51.8182	50	50.6818	48.6364
0.3	125	50	48.8636	49.0909	50	48.6364	49.7727
0.3	150	50	48.8636	50.9091	50	49.3182	48.6364
0.3	175	50	47.0455	49.0909	50	50	48.6364
0.3	190	50	46.8182	47.5	50	52.5	50.6818
0.3	200	50	48.8636	52.7273	50	48.6364	51.5909
0.6	0	50	50.4545	52.2727	50	50.9091	50
0.6	25	50	46.8182	51.1364	50	48.8636	50
0.6	50	50	48.1818	50.2273	50	52.7273	48.4091
0.6	75	50	48.8636	50	50	55.4545	48.8636
0.6	100	50	48.6364	48.4091	50	52.0455	51.5909
0.6	125	50	50.4545	50	50	51.1364	48.8636
0.6	150	50	45.9091	47.2727	50	50.9091	51.5909
0.6	175	50	54.0909	49.5455	50	47.7273	51.5909
0.6	190	50	49.0909	48.8636	50	51.8182	53.4091
0.6	200	50	49.3182	50.9091	50	47.7273	45
0.9	0	50	49.0909	51.5909	50	52.0455	46.5909
0.9	25	50	50.9091	50.6818	50	44.3182	50.9091
0.9	50	50	50	48.6364	50	49.5455	48.8636
0.9	75	50	43.4091	52.5	50	46.8182	51.5909
0.9	100	50	51.1364	50.9091	50	51.5909	48.8636
0.9	125	50	50.2273	48.1818	50	50.2273	47.7273
0.9	150	50	47.5	48.8636	50	51.3636	52.0455
0.9	175	50	53.8636	50.9091	50	50.6818	47.7273
0.9	190	50	51.5909	49.5455	50	48.8636	52.7273
0.9	200	50	50.9091	54.5455	50	48.6364	50.6818
1.2	0	50.2273	44.0909	50.9091	50	51.3636	49.7727
1.2	25	50	46.5909	49.0909	50	50	52.9545
1.2	50	50.2273	51.5909	48.4091	50	48.4091	47.2727
1.2	75	50	49.3182	50.6818	50	52.0455	51.5909
1.2	100	50	46.8182	50.4545	50	51.8182	51.1364
1.2	125	50.2273	50	51.5909	50	52.9545	54.7727
1.2	150	50	51.8182	48.4091	50	50.2273	53.4091
1.2	175	50	48.4091	48.1818	50	52.7273	48.1818
1.2	190	50	51.5909	48.6364	50	43.4091	54.3182
1.2	200	50.2273	49.7727	51.8182	50	50.4545	52.0455
1.5	0	50.2273	50.9091	52.0455	50	48.8636	47.2727
1.5	25	50	55.2273	47.9545	50	52.0455	53.1818
1.5	50	50	49.3182	50.2273	50	50.4545	50.6818
1.5	75	50.4545	51.3636	48.1818	50	51.1364	54.0909
1.5	100	49.7727	47.7273	49.7727	50	48.8636	47.0455
1.5	125	50	49.5455	52.2727	50	45.2273	49.5455
1.5	150	50	51.3636	45.4545	50	50.6818	48.4091
1.5	175	50	52.7273	48.1818	50	50	48.4091
1.5	190	50	50.6818	54.0909	50	53.4091	50
1.5	200	50	49.0909	51.8182	50	52.0455	51.3636
2	0	51.3636	49.5455	52.9545	49.5455	47.5	50.2273
2	25	50.4545	47.2727	50.4545	49.5455	45	44.3182
2	50	49.3182	43.1818	50.6818	50	49.3182	49.5455
2	75	48.4091	50.4545	48.6364	49.3182	47.2727	49.3182
2	100	50.2273	50.2273	54.0909	50.2273	50	51.5909
2	125	48.6364	53.8636	47.5	48.8636	50	47.2727
2	150	50.2273	48.1818	52.9545	49.7727	51.3636	48.6364
2	175	49.7727	51.5909	46.3636	50.2273	49.0909	49.5455
2	190	50.6818	49.5455	53.8636	50.4545	46.3636	50.2273
2	200	50.2273	50.6818	49.3182	50	47.9545	51.1364
2.3	0	52.2727	53.6364	50.6818	50.4545	48.4091	48.4091
2.3	25	48.8636	47.5	52.5	50.6818	44.5455	49.7727
2.3	50	51.3636	47.9545	49.3182	49.7727	48.6364	52.7273
2.3	75	50.9091	49.3182	47.2727	50.4545	44.7727	48.1818
2.3	100	49.3182	53.8636	51.1364	48.6364	51.3636	52.0455
2.3	125	49.3182	50	51.8182	49.7727	46.3636	48.1818
2.3	150	50	52.0455	49.5455	49.0909	49.5455	47.0455
2.3	175	50.2273	50.2273	47.9545	51.1364	52.0455	51.8182
2.3	190	49.3182	49.7727	52.9545	50.4545	53.8636	52.7273
